alpha	beta	eta	r
0.020899048	1.540740702	6.566688645	68.09335204
0.265634358	0.185161762	0.236771821	0.001274633
0.417322913	81.98838195	12.45641904	11.32780993
37.34395495	1340.249884	0.003495892	70.65775118
2.081999448	3.020520524	0.003771947	0.949746827
0.031294187	5.22575E-05	1021.306028	31.8967015
2.403065101	3.63089408	0.044074471	0.191896562
2.081999448	3.020520524	0.003771947	0.949746827
0.021431134	0.04434489	373.3192833	35.5557141
0.223585672	6.49498E-05	0.768436305	7.691294918
0.008416894	0.001091509	142.8543907	14.76105372
0.028914058	0.064260469	0.450280347	0.0121544
14.02983685	999.7011524	0.001319356	164.3477492
2.732116287	0.006336375	0.145807106	46.27452811
0.507884234	340.9982578	0.001671599	153.670068
1.002885401	0.000670508	0.101820222	8.132331115
9.525577424	1051.974825	0.002879077	98.9180355
0.002568692	0.203972731	9.617185389	121.3174961
21.61126005	937.842736	0.000556362	0.695095054
35.86191656	1800.905517	0.00149668	7.038424503
1.196339021	0.243261347	0.018137308	1.793040223
0.798908548	0.000399867	0.362954605	13.14669315
0.059387351	0.256735328	632.0898387	11.20520478
0.009304629	0.025697539	1607.147497	19.91189778
20.77360386	276.0277137	0.000868596	3.476119836
19.09692121	23.3711769	1.305914506	0.084571045
3.393964648	0.008090803	0.17180075	56.81649241
20.77360386	276.0277137	0.000868596	3.476119836
0.004493142	0.018022455	1.387149529	0.024614544
0.054303595	0.126646734	0.455994168	0.01695365
82.1305568	2425.143988	0.001468353	2.430229103
0.16402599	1.294492362	0.002433333	2.500897582
2.102458265	10.53257088	0.425962207	0.097886341
0.01341331	8.08E-006	18.951275	53.52461834
0.004536994	0.11521745	527.7051768	3.834345307
0.637378471	0.466648041	0.060528622	0.170508423
7.418010642	58.01263824	0.000731075	2.230642662
10.39953131	61.87330847	0.000894374	1.936199883
0.006328597	0.19758558	736.2395052	12.19780226
1.200286865	0.002083104	0.084571696	10.27367447
0.004402712	7.45066E-05	350.1840299	107.3968962
9.875116271	91.67889382	0.000893857	1.352065571
1.192411839	0.000941608	0.178004914	18.84207619
0.038990307	0.002263456	237.6205719	5.392346829
0.153945848	0.000189002	124.3276605	16.89736456
0.05136566	0.20620313	542.1214967	13.28825588
3.461500066	0.004048342	0.198734244	13.18261355
0.017447017	3.66E-006	5.96054752	4.383632528
35.86191656	1800.905517	0.00149668	7.038424503
0.483230279	0.025941611	0.017580997	2.184707956
1.05069824	513.8328588	0.000523997	0.754120218
0.009784266	0.022099759	1406.75682	9.930518426
36.6562063	1596.699017	0.00133957	5.895856347
22.28588731	43.94502181	1.251264229	0.115812915
0.180711253	0.008439973	0.057991529	3.11743375
0.700934569	74.11509268	65.50795141	15.94415631
3.601012002	0.004632074	0.216699283	3.336872786
0.006819889	0.007152894	405.9291284	15.73661997
0.316952875	0.008158328	252.2496272	123.7599389
